time,domain,noError,totalCount,aCount,cnameCount,mxCount,txtCount,clientipCount,subdomainCount,
20230606,69nq.cn,1,1,0,0,0,0,1,1,
20230607,69nq.cn,1,2,0,0,1,0,2,2,
20230608,69nq.cn,1,3,0,2,0,0,3,3,
20230609,69nq.cn,1,1,1,0,0,0,1,1,
20230610,69nq.cn,1,1,0,0,1,0,1,1,
20230601,blasoul.com,1,102,35,0,42,11,31,5,
20230602,blasoul.com,1,65,40,0,18,0,30,4,
20230603,blasoul.com,1,712,37,0,655,0,493,4,
20230604,blasoul.com,1,1236,10,0,1222,0,848,2,
20230605,blasoul.com,1,1068,33,0,1026,0,757,5,
20230606,blasoul.com,1,2607,32,0,2564,2,1844,4,
20230607,blasoul.com,1,2536,1038,0,1472,8,1148,7,
20230608,blasoul.com,1,2629,1308,0,1310,1,1192,6,
20230609,blasoul.com,1,2927,1465,0,1422,2,1287,6,
20230610,blasoul.com,1,2100,1058,0,1030,0,935,5,
20230601,hjgkfl.cn,0,0,0,0,0,0,0,0,
20230602,hjgkfl.cn,0,0,0,0,0,0,0,0,
20230603,hjgkfl.cn,0,0,0,0,0,0,0,0,
20230604,hjgkfl.cn,1,4,4,0,0,0,2,1,
20230605,hjgkfl.cn,0,0,0,0,0,0,0,0,
20230606,hjgkfl.cn,0,0,0,0,0,0,0,0,
20230607,hjgkfl.cn,1,2,1,0,0,0,1,1,
20230608,hjgkfl.cn,0,0,0,0,0,0,0,0,
20230609,hjgkfl.cn,0,0,0,0,0,0,0,0,
20230610,hjgkfl.cn,1,2,1,0,0,0,1,1,
20230601,shandonghuiyang.com,1,10,9,0,1,0,4,9,
20230602,shandonghuiyang.com,1,503,302,1,0,0,2,214,
20230603,shandonghuiyang.com,1,1,0,0,0,0,1,1,
20230604,shandonghuiyang.com,1,6,6,0,0,0,1,3,
20230605,shandonghuiyang.com,1,11,9,0,0,0,4,7,
20230606,shandonghuiyang.com,1,25,20,1,0,0,5,13,
20230607,shandonghuiyang.com,1,395,279,0,0,0,5,208,
20230608,shandonghuiyang.com,1,16,12,1,0,0,6,11,
20230609,shandonghuiyang.com,1,352,222,0,0,0,7,172,
20230610,shandonghuiyang.com,1,12,6,0,0,0,9,6,
20230601,caowensong.top,1,4,2,0,0,0,4,4,
20230602,caowensong.top,1,7,7,0,0,0,5,1,
20230603,caowensong.top,1,10,6,0,0,0,3,2,
20230604,caowensong.top,1,3,2,0,0,0,2,2,
20230605,caowensong.top,1,3,3,0,0,0,2,1,
20230606,caowensong.top,1,1,0,0,0,0,1,1,
20230607,caowensong.top,1,10,7,2,0,0,6,4,
20230608,caowensong.top,1,5,3,0,0,0,2,1,
20230609,caowensong.top,1,4022,2024,0,0,0,1730,1,
20230610,caowensong.top,1,4,3,0,0,0,3,2,
20230601,jsnjdz.com,1,34,23,0,0,0,12,3,
20230602,jsnjdz.com,1,50,35,0,0,0,21,3,
20230603,jsnjdz.com,1,33,17,0,0,0,3,1,
20230604,jsnjdz.com,1,1,1,0,0,0,1,1,
20230605,jsnjdz.com,1,15,8,0,0,0,2,1,
20230606,jsnjdz.com,1,2,2,0,0,0,1,1,
20230607,jsnjdz.com,1,32,16,0,0,0,2,1,
20230608,jsnjdz.com,1,21,12,1,0,0,5,2,
20230609,jsnjdz.com,1,44,42,0,0,0,35,2,
20230610,jsnjdz.com,1,31,17,0,0,0,8,3,
20230601,5mkskww.buzz,0,0,0,0,0,0,0,0,
20230602,5mkskww.buzz,0,9,7,0,0,0,4,3,
20230603,5mkskww.buzz,0,0,0,0,0,0,0,0,
20230604,5mkskww.buzz,0,0,0,0,0,0,0,0,
20230605,5mkskww.buzz,0,17,17,0,0,0,3,3,
20230606,5mkskww.buzz,0,0,0,0,0,0,0,0,
20230607,5mkskww.buzz,0,2,2,0,0,0,2,1,
20230608,5mkskww.buzz,0,8,5,0,0,0,2,3,
20230609,5mkskww.buzz,0,3,3,0,0,0,1,1,
20230610,5mkskww.buzz,0,0,0,0,0,0,0,0,
20230601,enjoyvision.cn,1,10,9,0,0,0,5,5,
20230602,enjoyvision.cn,1,1849,929,0,0,0,836,1,
20230603,enjoyvision.cn,1,1,1,0,0,0,1,1,
20230604,enjoyvision.cn,1,4,2,0,0,0,3,2,
20230605,enjoyvision.cn,1,13,8,0,0,0,5,5,
